MT5Group,MT5ServerType,MT4Group,MT4ServerType,MT5_1_TS1Group,MT5_1_TS1ServerType,MT5_1_TS2Group,MT5_1_TS2ServerType,MT4_3Group,MT4_3ServerType
real\A_Prime_P20S,live,F_Prime_C06S,live,real\C_Prime_P15S,live,real\F_Prime_Cent10S,live,,
real\B_STD_P05S,live,B_ECN_P03N,live,real\B_STD_P00S,live,real\B_Prime_P25S,live,,
real\D_STP_P30S,live,D_Prime_P00S,live,real\B_STD_Cent20S,live,Report_CRM,live,,
real\B_STD_Cent05S,live,B_STD_P01S,live,real\D_ECN_P00S_MAMM,live,real\D_Prime_P30S,live,,
real\A_STD_P02S,live,F_STD_P20S,live,real\B_STD_P00N_X,live,real\B_STD_P22S,live,,
real\C_STD_P22N,live,C_STD_Cent00S,live,managers\YJ,live,real\T_STD_P15S,live,,
real\A_STD_P20N,live,F_STD_Com20,live,real\B_Prime_P40N,live,real\C_ECN_P01S_MAMM,live,,
real\B_STD_P15S,live,C_ECN_P00SS-USD,live,demo\ECN,live,real\D_STD_P10S,live,,
real\C_STD_Cent00S,live,A_Prime_P40S,live,real\C_STD_P16S,live,real\C_STD_Com13,live,,
real\D_Prime_P25S,live,T_Prime_P15S,live,real\C_Prime_Cent05S,live,real\T_STD_SP30_Netting,live,,
real\B_STD_P32S,live,C_STD_Com20,live,real\T_STP_JPY,live,real\C_Prime_Cent05S,live,,
real\C_STD_P01S,live,A_Prime_P15S,live,real\C_STD_P00S_MAMM,live,real\F_STD_P05S,live,,
real\B_STP_P20N,live,A_ECN_P00S,live,real\F_Prime_P05S,live,real\D_STP_P10S,live,,
real\C_STD_C12S_MAMS,live,T_ECN,live,real\A_STD_P10S,live,real\D_STD_P20S,live,,
real\B_STD_P00S_MAMM,live,F_STD_Com20_10,live,demo\forex-net-usd-03,live,real\T_Prime_P30S,live,,
real\B_STD_P10S_MAMM,live,B_Prime_P00S,live,real\E_STD_P02S,live,real\D_STD_Cent10S,live,,
real\A_STP_P10S,live,C_Prime_P25S,live,real\A_Prime_P05S,live,real\C_STD_Com10,live,,
real\D_Prime_P25N,live,F_Prime_P10S,live,real\C_STP_P30S,live,real\D_STD_P22S,live,,
real\D_ECN_P03S,live,C_STD_Com11,live,real\T_ECN_EUR,live,real\C_STD_P30S,live,,
real\B_STD_Smart_Dollar,live,B_Prime_P25N,live,real\T_STD_Smart_Dollar,live,preliminary,live,,
real\D_Prime_P05S,live,B_STD_P16N,live,demo\STP,live,real\F_STD_P32S,live,,
real\F_STD_Com11,live,F_STD_P02S,live,real\A_STD_Com11,live,real\F_ECN_P01S_MAMM,live,,
real\C_STD_P02S_MAMM,live,test,live,real\C_STD_P10S_MAMM,live,real\E_STD_P10S,live,,
real\B_ECN_P10N,live,C_Prime_P10S,live,real\C_STD_Cent30S,live,real\F_STD_Smart_Dollar,live,,
real\C_STP_P00N,live,C_STD_P10S,live,real\B_ECN_P01S,live,real\F_STD_Cent20S,live,,
managers\Mu,live,A_ECN_P03S,live,real\Coverage_Group,live,real\B_STD_P16N,live,,
real\A_STD_Com10_20,live,D_STD_P12S,live,real\B_ECN_P02S,live,real\F_STD_Com10_20,live,,
real\A_Prime_P25S,live,D_Prime_P25S,live,real\C_STD_P30S_MAMM,live,real\A_STD_P10S_MAMM,live,,
real\T_Prime_P40S,live,B_STD_P00SM-USD,live,real\A_Prime_P01S,live,real\C_STD_P05S,live,,
real\F_STP_P20S,live,C_STD_P20SM-USD,live,real\T_STP_GBP,live,real\A_STP_P00S_MAMM,live,,
real\B_STD_C12S,live,B_STD_P10N,live,real\C_STP_P00S,live,real\F_Prime_P05S,live,,
real\C_ECN_P01S_MAMM,live,IB_RTTC,live,real\B_STD_Cent00S,live,real\B_STP_P30S,live,,
real\F_STP_P00S,live,F_ECN_P00SM-USD,live,real\F_STD_P10S,live,managers\administrators,live,,
real\F_STP_P00S_MAMM,live,F_STD_P15S,live,real\F_Prime_Cent05S,live,real\B_ECN_P00S,live,,
real\S_ECN_P00S,live,E_STD_P00S,live,real\C_STD_C12S,live,real\T_ECN_GBP,live,,
real\T_STD_AAAA,live,D_ECN_P03S,live,real\C_STD_Com13,live,real\A_ECN_P03S,live,,
real\C_STP_P00S_MAMS,live,T_ECN_P07S,live,agent_STP,live,real\C_STD_C12S_MAMS,live,,
real\B_Prime_Cent10S,live,B_STD_P00S,live,real\D_Prime_P25S,live,real\B_STD_P20S_MAMM,live,,
real\F_Test,live,F_STD_Com13,live,real\C_STD_P12S,live,real\B_STD_P10S_MAMM,live,,
real\F_STD_P00S,live,F_STD_P30S,live,real\D_Prime_P20S,live,real\T_ECN_JPY,live,,
real\C_Prime_P00S,live,B_ECN_P02N,live,real\B_Prime_P25N,live,real\Retail_FIXAPI_14mio,live,,
real\E_STD_P30S,live,T_Prime_P20S,live,real\C_Prime_Cent15S,live,real\C_STP_P20S,live,,
real\A_STD_P32S,live,B_ECN_P01N,live,real\A_STD_P02S,live,real\F_STD_P20S_MAMM,live,,
real\B_ECN_P00N,live,T_Prime_P10S,live,real\F_STP_P20S,live,real\F_STD_Com13_noswap,live,,
real\C_STD_P02S_MAMS,live,F_STD_P22S,live,real\C_STD_Com10_20,live,real\B_STP_P10N,live,,
real\F_STD_P02S,live,T_Prime_P30S,live,real\F_STD_P02S,live,real\C_Prime_P00S_MAMM,live,,
demo\Jane_test,live,A_Prime_P05S,live,real\A_STD_P20S,live,demo\Jane_test,live,,
real\A_STD_P30N,live,D_STD_P15S,live,real\C_STD_P30S_MAMS,live,real\B_STD_P10S,live,,
real\C_STD_P10S,live,B_STD_P12S,live,real\C_STD_C12S_MAMM,live,real\E_STD_P02S,live,,
real\T_STP_JPY,live,C_STD_P20S,live,real\C_ECN_P00S_MAMM,live,real\B_STD_P22N,live,,
real\C_STD_P10S_MAMM,live,C_STD_Cent10S,live,real\F_Prime_Cent15S,live,real\B_STD_Smart_Cent,live,,
real\B_Prime_P40S,live,B_STD_Com12,live,real\A_STD_Smart_Cent,live,real\F_STP_P20S_MAMM,live,,
real\A_STD_P20S_MAMM,live,T_Prime_P40S,live,Report_CRM,live,real\B_STD_Cent00S,live,,
real\F_STD_P02N,live,D_Prime_P30S,live,real\B_ECN_P00S,live,real\A_Prime_P05S,live,,
real\B_ECN_P10S,live,C_STD_P07S,live,real\B_STD_P01N,live,real\F_STD_C12S,live,,
real\A_Prime_P00S_MAMM,live,A_STD_P00N,live,real\E_STD_P00N,live,real\B_STD_P12S,live,,
real\B_Prime_P00N_X,live,C_ECN_P02S,live,real\D_STD_Cent10S,live,real\F_STD_P06S,live,,
real\C_STP_P30S,live,A_Prime_C06S,live,real\F_STD_Com10_20,live,real\D_Prime_P05S,live,,
real\A_STD_P30S,live,A_Prime_P10S,live,real\C_Prime_P00S_MAMM,live,real\A_STD_Smart_Cent,live,,
real\T_Prime_P05S,live,A_ECN_P00N,live,real\C_STD_P10S,live,real\C_Prime_C03S,live,,
real\B_Prime_P00S,live,T_STD_Cent00S,live,real\B_STD_Com10,live,real\C_STD_P03N,live,,
real\A_ECN_P01S_MAMM,live,A_STD_P12S,live,real\B_STD_P20N,live,real\A_STP_P20S_MAMM,live,,
real\B_ECN_P05S,live,B_Prime_P05S,live,real\A_ECN_P00N,live,real\B_STD_P05N,live,,
real\A_Prime_P00S_X,live,C_ECN_P00S,live,real\C_Prime_C03S,live,real\B_STD_P00S,live,,
real\B_Prime_P40N,live,C_STD_Cent20S,live,real\B_STD_Com12,live,real\A_Prime_P25S,live,,
real\F_STD_Cent20S,live,B_ECN_P10S,live,real\A_STD_Com10_20,live,real\A_STD_P30S,live,,
real\A_STD_P20S,live,D_Prime_P05S,live,real\A_STD_P10N,live,real\C_STD_Smart_Cent,live,,
real\D_Prime_P00N_X,live,A_Prime_P35S,live,managers\dealers,live,real\C_STD_P01S,live,,
real\B_Prime_P05S,live,C_STD_P22N,live,real\B_STP_P20S_MAMM,live,real\C_STD_P15S,live,,
real\A_STD_P10N,live,B_Prime_P30S,live,real\B_STD_P06S,live,real\B_ECN_P05N,live,,
real\F_ECN_P01S_MAMM,live,B_ECN_P03S,live,real\E_STD_P30S,live,real\F_STD_Cent00S,live,,
real\B_ECN_P02S,live,B_ECN_P00SM-USD,live,real\T_Prime_P35S,live,real\A_STD_P02S_MAMM,live,,
real\C_STD_P00S,live,C_ECN_P10S,live,real\D_STD_P25S,live,real\T_STD_Smart_Dollar,live,,
real\real,live,C_STD_Com10_3,live,real\F_STD_Com13,live,real\B_ECN_P02S,live,,
real\H_PRO_USD,live,T_STD,live,real\C_STD_P00S_MAMS,live,real\C_STP_P00S_MAMM,live,,
real\E_STD_P10S,live,T_Prime_P00S,live,real\B_Prime_P30S,live,real\C_STP_P00N,live,,
real\F_STD_P22S,live,D_STD_P25S,live,real\C_STD_P02N,live,real\B_STD_P02S_MAMM,live,,
real\D_STD_P00N,live,B_STD_P30S,live,real\C_Prime_Cent10S,live,real\C_ECN_P01S,live,,
real\F_Prime_Cent05S,live,A_STD_P00S,live,real\B_STD_C12S_MAMM,live,real\F_STD_Cent30S,live,,
real\D_STD_P03S,live,D_STD_P01S,live,real\T_STD_SP30_Netting,live,real\C_STD_Com11,live,,
real\B_Prime_P15N,live,D_ECN_P02S,live,real\T_Prime_P40S,live,real\A_Prime_P00S_MAMM,live,,
real\A_STD_Com12,live,T_Prime_P35S,live,real\A_STP_P10S,live,real\A_ECN_P10S,live,,
real\B_STD_P12S,live,C_STD_Com30,live,real\C_ECN_P02S,live,real\B_Prime_P25N,live,,
real\B_STP_P20S_MAMM,live,T_STD_P15S,live,real\C_STD_C12S_MAMS,live,demo\ECN,live,,
real\B_STD_P30S,live,T_Prime_P25S,live,real\C_ECN_P10S,live,real\D_Prime_P20S,live,,
real\A_ECN_P01S,live,F_STD_Com10_nS,live,real\F_Prime_P30S,live,real\B_ECN_P01S_MAMM,live,,
real\F_STD_Cent30S,live,A_STD_Com13,live,real\B_STD_P00S_MAMM,live,real\D_Prime_P25S,live,,
real\A_ECN_P00N,live,B_ECN_P01S,live,real\D_Prime_P40S,live,demo\forex-net-usd-02,live,,
real\D_STD_Cent00S,live,D_ECN_P01S,live,real\B_ECN_P05S,live,real\B_Prime_P00S,live,,
real\F_Prime_P35S,live,B_STD_P00N,live,real\C_ECN_P00S,live,real\C_Prime_P35S,live,,
real\D_STD_P02N,live,T_STD_P00S,live,real\C_STP_P00N,live,real\C_STP_P20S_MAMM,live,,
ultency\ME.16\b_book,live,F_STD_P00S,live,real\T_STD_P00S_MAMS,live,real\C_Prime_P00S,live,,
real\C_STD_P03S,live,C_STD_P12S,live,real\C_ECN_P03S,live,real\C_STD_C12S_MAMM,live,,
real\A_Prime_P25N,live,A_STD_Com12,live,real\D_STD_P20S,live,real\D_Prime_P10S,live,,
real\C_Prime_P00S_MAMS,live,D_STD_P03S,live,real\B_STP_P10S,live,real\S_ECN_P00S,live,,
real\C_Prime_P30N,live,F_Prime_P35S,live,demo\forex-hedge-usd-01,live,real\B_STD_P30N,live,,
real\F_STD_Cent00S,live,C_STD_P32S,live,real\B_STD_Cent30S,live,real\A_STD_Com11,live,,
real\F_STD_Com13_noswap,live,T_ECN_P06S,live,real\A_Prime_P35S,live,real\T_STD_P00S_MAMS,live,,
real\B_STD_P02N,live,B_STD_P12N,live,real\D_STD_Cent00S,live,real\D_STD_P00S,live,,
real\C_STD_P30S_MAMM,live,D_Prime_P40S,live,real\A_STD_P30S,live,real\A_ECN_P01S,live,,
real\D_ECN_P00S,live,F_STD_Com12,live,real\A_STD_P12S,live,real\E_STD_P20S,live,,
real\D_STD_P10S,live,C_Prime_P15S,live,real\F_STP_P30S,live,real\F_ECN_P10S,live,,
real\C_Prime_P30S,live,preliminary,live,real\B_STD_P03S,live,real\C_STD_P02S,live,,
real\D_STD_Cent05S,live,A_STD_P25S,live,real\B_STP_P00S,live,real\S_STD_P00S,live,,
real\C_STD_Com10_20,live,B_Prime_P10S,live,real\D_Credit,live,real\D_STD_P00S_MAMM,live,,
real\C_STD_Com10,live,A_STD_P03S,live,real\F_Prime_P00S_MAMM,live,real\A_STD_P20S_MAMM,live,,
real\F_Prime_P01S,live,F_ECN_P03S,live,real\C_STP_P10S,live,real\B_STD_P12N,live,,
real\F_STD_P15S,live,B_Prime_P20S,live,real\B_ECN_P00S_MAMM,live,demo\Quotes,live,,
real\B_STD_Cent20S,live,A_STD_Com10_20,live,real\T_Prime_P20S,live,real\C_Prime_P30S,live,,
real\F_STD_Com10,live,F_STD_P00N,live,real\B_STD_P30N,live,real\C_STD_P20N,live,,
real\F_Prime_Cent15S,live,A_STD_P10SM-USD,live,real\F_STD_P12S,live,real\B_Prime_P05N,live,,
real\A_STD_P10S_MAMM,live,C_Prime_P20S,live,real\B_STD_P01S,live,real\F_ECN_P00S_MAMM,live,,
real\F_STD_P25S,live,B_Prime_P10N,live,real\B_STD_P10S,live,real\B_STP_P00S,live,,
real\F_ECN_P01S,live,F_STD_Com10_10,live,real\C_ECN_P05S,live,real\A_Prime_P10S,live,,
real\C_STP_P20S_MAMS,live,T_STD_P10S,live,real\B_Prime_P20S,live,real\C_Prime_Cent10S,live,,
real\C_STD_P10N,live,B_STD_Cent10S,live,real\F_Prime_P25S,live,real\A_STD_P02N,live,,
real\F_STD_Smart_Dollar,live,B_STD_Com10,live,real\T_STD_Cent00S,live,managers\dealers,live,,
real\D_STD_P15S,live,,,real\C_STD_P03S,live,real\C_STP_P10S,live,,
real\F_ECN_P02S,live,,,real\T_Prime_P05S,live,real\B_STD_P25N,live,,
real\A_Prime_P00N_X,live,,,real\A_STD_Com10,live,real\F_STD_P22S,live,,
real\A_STD_P00S_1SO,live,,,real\F_Prime_P15S,live,real\T_STP_P00S,live,,
real\A_STD_P12S,live,,,real\T_ECN_JPY,live,real\D_STD_Cent30S,live,,
real\A_STD_P16S,live,,,real\C_ECN_P00S_MAMS,live,real\B_Prime_Cent15S,live,,
demo\N_TestG,live,,,real\C_ECN_P03N,live,real\A_STD_P00S,live,,
real\C_STP_P20S_MAMM,live,,,real\E_STD_P20S,live,real\F_STD_P10S_MAMM,live,,
real\D_STD_P01S,live,,,real\A_STD_P00N,live,demo\STD,live,,
demo\forex-hedge-usd-03,live,,,real\D_STD_P03S,live,real\B_Prime_P05S,live,,
real\D_Prime_P15S,live,,,real\D_ECN_P03S,live,real\B_STP_P10S,live,,
real\F_Prime_P20S,live,,,real\B_Prime_P00S_X,live,real\F_STP_P10S,live,,
real\C_STD_P16S,live,,,real\C_STD_P20S_MAMS,live,real\C_STD_P03S,live,,
real\A_STD_P00S_MAMM,live,,,real\D_STP_P10S,live,real\A_ECN_P00S,live,,
real\F_Prime_C03S,live,,,real\E_ECN_P00S,live,real\C_STD_P12N,live,,
real\A_STD_P00N,live,,,demo\Jane_test,live,real\C_ECN_P00S,live,,
real\A_STP_P20S,live,,,real\T_STD_JPY,live,real\H_Hedge_USD,live,,
real\D_ECN_P01S,live,,,real\C_STD_P00S,live,real\F_STD_Com11_noswap,live,,
real\B_STD_P03N,live,,,real\B_ECN_P10S,live,real\D_STD_P16S,live,,
real\T_STP_P00S,live,,,real\D_STD_P00S,live,real\B_STD_P01N,live,,
real\B_Prime_P00S_MAMM,live,,,real\B_STD_P22S,live,real\F_STD_Smart_Cent,live,,
real\B_Prime_P20N,live,,,real\C_STD_P32S,live,real\D_STP_P00S_MAMM,live,,
real\B_STD_C12S_MAMM,live,,,real\B_Prime_P10N,live,real\B_STP_P20S,live,,
real\B_STD_P20S,live,,,real\F_STD_P06S,live,real\A_STD_Com10_20,live,,
real\F_Prime_P00S_MAMM,live,,,managers\Mu,live,real\D_STP_P30S,live,,
real\Retail_FIXAPI_001,live,,,real\F_STD_P30S,live,real\C_Prime_P15S,live,,
real\B_STD_Cent00S,live,,,real\D_STD_P10S,live,real\F_Prime_Cent15S,live,,
real\F_STP_P30S,live,,,real\T_STD,live,real\C_STD_Com10_20,live,,
real\C_ECN_P01S_MAMS,live,,,real\F_STD_Com10,live,real\B_STP_P20N,live,,
real\F_STD_C12S_MAMM,live,,,real\A_STD_P32S,live,real\T_Prime_P35S,live,,
real\B_STD_Cent10S,live,,,real\E_STP_P00S,live,real\F_STD_Com13,live,,
real\T_STD_SP30,live,,,real\B_STD_P16N,live,real\C_STD_P16S,live,,
real\T_STD_SP10,live,,,real\D_STD_P16S,live,real\F_Prime_P15S,live,,
real\B_ECN_P02N,live,,,preliminary,live,real\C_ECN_P10S,live,,
real\C_Prime_Cent10S,live,,,real\F_STD_C12S,live,real\C_STD_Cent20S,live,,
real\C_Prime_C03S,live,,,real\D_ECN_P00S,live,real\C_ECN_P03N,live,,
real\F_Prime_P40S,live,,,real\F_STD_Com11_noswap,live,real\Retail_FIXAPI_12mio,live,,
real\B_Prime_Cent05S,live,,,real\B_STD_P20S,live,real\B_Prime_P30S,live,,
real\B_STD_P02S,live,,,real\B_STP_P20S,live,real\B_STD_P20S,live,,
real\T_STP_EUR,live,,,real\T_STD_P00S_MAMM,live,real\F_ECN_P02S,live,,
real\B_STD_P25N,live,,,real\A_ECN_P03S,live,real\C_Prime_Cent15S,live,,
real\D_STD_P00S_1SO,live,,,real\C_Prime_P10S,live,real\E_ECN_P00S,live,,
real\B_STD_P00N,live,,,real\C_STP_P20S_MAMS,live,real\D_Prime_P40S,live,,
real\C_ECN_P10S,live,,,real\B_STD_Smart_Cent,live,real\T_Prime_P00S,live,,
real\A_STD_P30S_MAMM,live,,,real\B_STD_P32S,live,real\C_STD_P00S_MAMM,live,,
real\C_STD_P22S,live,,,real\B_STD_P00S_X,live,real\F_ECN_P03S,live,,
real\B_STD_Com13,live,,,real\D_ECN_P05S,live,real\B_STD_P15S,live,,
demo\forex-hedge-usd-02,live,,,real\F_ECN_P00S_MAMM,live,real\B_STD_C12S,live,,
real\A_ECN_P05S,live,,,real\F_STD_P32S,live,real\T_STD_SP10,live,,
real\F_STD_Com12_noswap,live,,,real\F_STD_Cent00S,live,real\Retail_FIXAPI_001,live,,
real\C_Prime_P25S,live,,,real\B_STD_P00N,live,real\B_STD_P32N,live,,
real\B_Prime_P25N,live,,,real\F_STD_P10S_MAMM,live,real\B_STP_P00N,live,,
agent_ECN,live,,,real\F_STD_Cent30S,live,real\T_Prime_P20S,live,,
real\C_STD_P12S,live,,,real\C_STD_Cent10S,live,real\C_Prime_C06S,live,,
real\E_STP_P00S,live,,,real\C_STD_P20N,live,real\F_STD_P02N,live,,
real\Coverage_Group,live,,,real\B_Prime_P00N_X,live,real\B_Prime_P10N,live,,
demo\forex-net-usd-01,live,,,real\T_ECN_GBP,live,real\F_STD_P00S,live,,
real\C_STD_P05S,live,,,real\B_STD_P10S_MAMM,live,real\B_STD_P02N,live,,
real\E_ECN_P00S,live,,,real\C_STD_Cent20S,live,real\real,live,,
real\F_Prime_P15S,live,,,real\C_STD_P01S,live,real\A_STD_P12S,live,,
real\A_STD_P00S_X,live,,,real\F_STD_P15S,live,real\B_STD_C12S_MAMM,live,,
real\A_Prime_P05S,live,,,real\T_STD_SP10,live,real\F_STP_P30S,live,,
real\B_Prime_P15S,live,,,real\T_STD_AAAA,live,real\D_STD_P01S,live,,
real\D_STD_P00S,live,,,real\Retail_FIXAPI_14mio,live,real\B_STD_P06S,live,,
real\D_STD_P22S,live,,,real\B_ECN_P00N,live,real\B_STD_P30S_MAMM,live,,
real\T_STD_SP20,live,,,real\B_STD_P10N,live,real\A_STP_P10S,live,,
real\A_Prime_P00S,live,,,real\B_STP_P00N,live,real\C_ECN_P05S,live,,
real\C_Prime_C06S,live,,,real\B_STD_P12N,live,real\B_STD_P01S,live,,
preliminary,live,,,real\A_STD_P22S,live,real\B_STD_P25S,live,,
real\A_Prime_P15S,live,,,real\B_Prime_Cent05S,live,demo\forex-hedge-usd-01,live,,
real\T_STD_Cent00S,live,,,real\F_Prime_C06S,live,real\A_STD_Smart_Dollar,live,,
real\B_STD_P20S_MAMM,live,,,real\B_STD_P02S,live,real\F_STD_P30S,live,,
real\C_STD_P00S_1SO,live,,,real\F_STD_Com12,live,real\F_STD_Cent10S,live,,
real\C_ECN_P01S,live,,,real\F_STD_C12S_MAMM,live,real\C_STD_P10S,live,,
real\F_Prime_P05S,live,,,real\F_STD_P05S,live,agent_ECN,live,,
real\B_Prime_P05N,live,,,real\T_STD_P25S,live,real\F_Prime_P25S,live,,
real\C_STP_P00S,live,,,real\C_STD_Com12,live,real\C_STP_P00S_MAMS,live,,
real\F_STD_P06S,live,,,real\C_STD_Smart_Dollar,live,managers\YJ,live,,
real\T_STD_P00S_MAMS,live,,,real\C_STD_P22N,live,real\C_STD_P30S_MAMM,live,,
real\F_STD_Com11_noswap,live,,,real\C_ECN_P01S_MAMM,live,real\T_Prime_P40S,live,,
real\D_STP_P20S,live,,,real\T_Prime_P30S,live,real\A_Prime_P20S,live,,
demo\Quotes,live,,,real\A_Prime_P30S,live,real\B_STD_Cent10S,live,,
real\E_ECN_P01S,live,,,real\B_STD_Smart_Dollar,live,real\T_STD_SP30,live,,
real\A_Prime_P10S,live,,,real\B_STD_P16S,live,real\C_Prime_P00S_MAMS,live,,
real\D_STD_Com10_20,live,,,real\B_STD_P05S,live,real\A_ECN_P05S,live,,
real\Retail_FIXAPI_14mio,live,,,real\F_STD_Smart_Dollar,live,real\T_STD_P00S_MAMM,live,,
real\D_STD_P02S,live,,,real\A_STP_P00S,live,real\C_STD_P20S_MAMS,live,,
real\D_ECN_P00S_MAMM,live,,,real\F_STD_Com13_noswap,live,real\F_STD_Com10,live,,
real\B_STP_P20S,live,,,real\C_STD_P02S_MAMM,live,real\E_STD_P30S,live,,
real\C_ECN_P02S,live,,,real\G_ECN_P00S,live,real\G_ECN_P00S,live,,
real\E_STD_P00N,live,,,real\G_Prime_P00S,live,real\G_Prime_P00S,live,,
real\B_Prime_P35S,live,,,real\G_STD_P00S,live,real\G_STD_P00S,live,,
real\A_STD_P00S,live,,,,,,,,
real\C_STD_P10S_MAMS,live,,,,,,,,
real\B_STD_Com11,live,,,,,,,,
real\C_STD_Cent20S,live,,,,,,,,
real\S_STD_P00S,live,,,,,,,,
real\C_ECN_P00S_MAMS,live,,,,,,,,
real\D_ECN_P10S,live,,,,,,,,
real\B_STD_P25S,live,,,,,,,,
real\C_STD_Cent10S,live,,,,,,,,
real\C_STP_P10S,live,,,,,,,,
real\Retail_FIXAPI_12mio,live,,,,,,,,
real\A_Prime_P30S,live,,,,,,,,
agent_STP,live,,,,,,,,
real\A_Prime_P40S,live,,,,,,,,
real\F_STD_P12S,live,,,,,,,,
real\B_Prime_Cent15S,live,,,,,,,,
real\B_STD_Com10_20,live,,,,,,,,
managers\YJ,live,,,,,,,,
real\C_Prime_P40S,live,,,,,,,,
real\D_Prime_P20S,live,,,,,,,,
managers\dealers,live,,,,,,,,
real\A_STD_P25S,live,,,,,,,,
real\T_ECN_EUR,live,,,,,,,,
real\T_STD_JPY,live,,,,,,,,
real\B_STD_P15N,live,,,,,,,,
real\B_STP_P00S,live,,,,,,,,
managers\Smart,live,,,,,,,,
